notebook_title,count_context,context,average_context
Notizbuch A1,1036,.//tei:sourceDoc//tei:line,14.0
Notizbuch A1,669,.//tei:sourceDoc//tei:seg,14.0
Notizbuch A1,1,.//tei:abstract,134.0
Notizbuch D8,0,.//tei:sourceDoc//tei:note[@type='editorial'],0
Notizbuch D8,0,.//tei:sourceDoc//tei:note[@type='authorial'],0
Notizbuch D8,153,.//tei:sourceDoc//tei:surface,134.0
Notizbuch D8,156,.//tei:sourceDoc//tei:add,134.0
Notizbuch D8,382,.//tei:sourceDoc//tei:zone,134.0
Notizbuch D8,2743,.//tei:sourceDoc//tei:line,134.0
Notizbuch D8,1861,.//tei:sourceDoc//tei:seg,134.0
Notizbuch D8,1,.//tei:abstract,2.0
Notizbuch D9,13,.//tei:sourceDoc//tei:note[@type='editorial'],12.54
Notizbuch D9,2,.//tei:sourceDoc//tei:note[@type='authorial'],11.5
Notizbuch D9,153,.//tei:sourceDoc//tei:surface,12.0
Notizbuch D9,146,.//tei:sourceDoc//tei:add,12.0
Notizbuch D9,535,.//tei:sourceDoc//tei:zone,12.0
Notizbuch D9,3122,.//tei:sourceDoc//tei:line,12.0
Notizbuch D9,2146,.//tei:sourceDoc//tei:seg,12.0
Notizbuch D9,1,.//tei:abstract,2.0
Notizbuch B15,24,.//tei:sourceDoc//tei:note[@type='editorial'],30.0
Notizbuch B15,1,.//tei:sourceDoc//tei:note[@type='authorial'],2.0
Notizbuch B15,246,.//tei:sourceDoc//tei:surface,2.0
Notizbuch B15,45,.//tei:sourceDoc//tei:add,2.0
Notizbuch B15,497,.//tei:sourceDoc//tei:zone,2.0
Notizbuch B15,1729,.//tei:sourceDoc//tei:line,2.0
Notizbuch B15,553,.//tei:sourceDoc//tei:seg,2.0
Notizbuch B15,1,.//tei:abstract,2.0
Notizbuch C1,0,.//tei:sourceDoc//tei:note[@type='editorial'],0
Notizbuch C1,0,.//tei:sourceDoc//tei:note[@type='authorial'],0
Notizbuch C1,126,.//tei:sourceDoc//tei:surface,2.0
Notizbuch C1,109,.//tei:sourceDoc//tei:add,2.0
Notizbuch C1,344,.//tei:sourceDoc//tei:zone,2.0
Notizbuch C1,1883,.//tei:sourceDoc//tei:line,2.0
Notizbuch C1,1367,.//tei:sourceDoc//tei:seg,2.0
Notizbuch C1,1,.//tei:abstract,2.0
Notizbuch B2,17,.//tei:sourceDoc//tei:note[@type='editorial'],23.24
Notizbuch B2,2,.//tei:sourceDoc//tei:note[@type='authorial'],3.0
Notizbuch B2,169,.//tei:sourceDoc//tei:surface,3.0
Notizbuch B2,27,.//tei:sourceDoc//tei:add,3.0
Notizbuch B2,264,.//tei:sourceDoc//tei:zone,3.0
Notizbuch B2,1776,.//tei:sourceDoc//tei:line,3.0
Notizbuch B2,795,.//tei:sourceDoc//tei:seg,3.0
Notizbuch B2,1,.//tei:abstract,2.0
Notizbuch A4,1,.//tei:sourceDoc//tei:note[@type='editorial'],15.0
Notizbuch A4,1,.//tei:sourceDoc//tei:note[@type='authorial'],1.0
Notizbuch A4,142,.//tei:sourceDoc//tei:surface,1.0
Notizbuch A4,563,.//tei:sourceDoc//tei:add,1.0
Notizbuch A4,302,.//tei:sourceDoc//tei:zone,1.0
Notizbuch A4,2317,.//tei:sourceDoc//tei:line,1.0
Notizbuch A4,1448,.//tei:sourceDoc//tei:seg,1.0
Notizbuch A4,1,.//tei:abstract,29.0
Notizbuch B10,8,.//tei:sourceDoc//tei:note[@type='editorial'],27.5
Notizbuch B10,0,.//tei:sourceDoc//tei:note[@type='authorial'],0
Notizbuch B10,133,.//tei:sourceDoc//tei:surface,41.0
