filename,notebook_title,date_e,date_a,date_f,count_context,context,average_context
22jtn,Notizbuch E5,1878-07 1878-07-17 1878-07-27 1879-01-17,,1879,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,7
22jtc,Notizbuch B7,1881-05-14 1881-06-01 1881-06-11 1881-09-20 1881-10-08 1881-10-12 1882-01-06,,1881,10,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,18
22jtc,Notizbuch B7,1881-05-14 1881-06-01 1881-06-11 1881-09-20 1881-10-08 1881-10-12 1882-01-06,,1881,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,1
22jtc,Notizbuch B7,1881-05-14 1881-06-01 1881-06-11 1881-09-20 1881-10-08 1881-10-12 1882-01-06,,1881,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,23
22jtc,Notizbuch B7,1881-05-14 1881-06-01 1881-06-11 1881-09-20 1881-10-08 1881-10-12 1882-01-06,,1881,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,23
22jtb,Notizbuch B6,1881-01-13 1881-01-16 1881-01-16 1881-01-21 1881-01-29 1881-02-15 1881-02-19 1881-02-20 1881-03-18,,1881,11,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,17
22jtb,Notizbuch B6,1881-01-13 1881-01-16 1881-01-16 1881-01-21 1881-01-29 1881-02-15 1881-02-19 1881-02-20 1881-03-18,,1881,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,1
22jtb,Notizbuch B6,1881-01-13 1881-01-16 1881-01-16 1881-01-21 1881-01-29 1881-02-15 1881-02-19 1881-02-20 1881-03-18,,1881,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,21
22jtb,Notizbuch B6,1881-01-13 1881-01-16 1881-01-16 1881-01-21 1881-01-29 1881-02-15 1881-02-19 1881-02-20 1881-03-18,,1881,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,21
16q90,Notizbuch C13,1875,1875,,3,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,22
16q90,Notizbuch C13,1875,1875,,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,6
16q90,Notizbuch C13,1875,1875,,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,1
16q90,Notizbuch C13,1875,1875,,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,6
2128h,Notizbuch A9,1861-10-05 1862-06-25 1862-06-26 1862-06-27 1862-06-28 1862-06-29,,,12,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,18
2128h,Notizbuch A9,1861-10-05 1862-06-25 1862-06-26 1862-06-27 1862-06-28 1862-06-29,,,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,10
2128h,Notizbuch A9,1861-10-05 1862-06-25 1862-06-26 1862-06-27 1862-06-28 1862-06-29,,,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,4
2128h,Notizbuch A9,1861-10-05 1862-06-25 1862-06-26 1862-06-27 1862-06-28 1862-06-29,,,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,9
2128g,Notizbuch A8,,,,10,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,30
2128g,Notizbuch A8,,,,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,10
2128g,Notizbuch A8,,,,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,1
2128g,Notizbuch A8,,,,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,9
2128k,Notizbuch A14,,,,15,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,18
2128k,Notizbuch A14,,,,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,10
2128k,Notizbuch A14,,,,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,1
2128k,Notizbuch A14,,,,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,10
2128q,Notizbuch A21,1860,,,12,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,25
2128q,Notizbuch A21,1860,,,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,20
2128q,Notizbuch A21,1860,,,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,1
2128q,Notizbuch A21,1860,,,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,19
