filename,notebook_title,date_e,date_a,date_f,count_context,context,average_context
1rhds,Notizbuch E1,1874 1878,1874,,1,.//tei:abstract,34
1rhdn,Notizbuch C4,1872,1872,,1,.//tei:sourceDoc//tei:note[@type='editorial'],3
1rhdn,Notizbuch C4,1872,1872,,6,.//tei:sourceDoc//tei:note[@type='authorial'],5
1rhdn,Notizbuch C4,1872,1872,,281,.//tei:sourceDoc//tei:surface,3
1rhdn,Notizbuch C4,1872,1872,,44,.//tei:sourceDoc//tei:add,3
1rhdn,Notizbuch C4,1872,1872,,400,.//tei:sourceDoc//tei:zone,3
1rhdn,Notizbuch C4,1872,1872,,1827,.//tei:sourceDoc//tei:line,3
1rhdn,Notizbuch C4,1872,1872,,946,.//tei:sourceDoc//tei:seg,3
1rhdn,Notizbuch C4,1872,1872,,1,.//tei:abstract,2
22jts,Notizbuch B4,1877-08-07 1877-08-10 1878-12 1879-02-21 1879-03-20 1879-03-24 1879-04-17,,,13,.//tei:sourceDoc//tei:note[@type='editorial'],41
22jts,Notizbuch B4,1877-08-07 1877-08-10 1878-12 1879-02-21 1879-03-20 1879-03-24 1879-04-17,,,1,.//tei:sourceDoc//tei:note[@type='authorial'],2
22jts,Notizbuch B4,1877-08-07 1877-08-10 1878-12 1879-02-21 1879-03-20 1879-03-24 1879-04-17,,,125,.//tei:sourceDoc//tei:surface,2
22jts,Notizbuch B4,1877-08-07 1877-08-10 1878-12 1879-02-21 1879-03-20 1879-03-24 1879-04-17,,,46,.//tei:sourceDoc//tei:add,2
22jts,Notizbuch B4,1877-08-07 1877-08-10 1878-12 1879-02-21 1879-03-20 1879-03-24 1879-04-17,,,221,.//tei:sourceDoc//tei:zone,2
22jts,Notizbuch B4,1877-08-07 1877-08-10 1878-12 1879-02-21 1879-03-20 1879-03-24 1879-04-17,,,813,.//tei:sourceDoc//tei:line,2
22jts,Notizbuch B4,1877-08-07 1877-08-10 1878-12 1879-02-21 1879-03-20 1879-03-24 1879-04-17,,,418,.//tei:sourceDoc//tei:seg,2
22jts,Notizbuch B4,1877-08-07 1877-08-10 1878-12 1879-02-21 1879-03-20 1879-03-24 1879-04-17,,,1,.//tei:abstract,49
1rhdk,Notizbuch A18,1867,1867,,0,.//tei:sourceDoc//tei:note[@type='editorial'],0
1rhdk,Notizbuch A18,1867,1867,,12,.//tei:sourceDoc//tei:note[@type='authorial'],13
1rhdk,Notizbuch A18,1867,1867,,157,.//tei:sourceDoc//tei:surface,1
1rhdk,Notizbuch A18,1867,1867,,54,.//tei:sourceDoc//tei:add,1
1rhdk,Notizbuch A18,1867,1867,,377,.//tei:sourceDoc//tei:zone,1
1rhdk,Notizbuch A18,1867,1867,,1669,.//tei:sourceDoc//tei:line,1
1rhdk,Notizbuch A18,1867,1867,,1127,.//tei:sourceDoc//tei:seg,1
1rhdk,Notizbuch A18,1867,1867,,1,.//tei:abstract,115
2128n,Notizbuch A17,1869 1870,"
                     ,  
                ",,0,.//tei:sourceDoc//tei:note[@type='editorial'],0
2128n,Notizbuch A17,1869 1870,"
                     ,  
                ",,0,.//tei:sourceDoc//tei:note[@type='authorial'],0
2128n,Notizbuch A17,1869 1870,"
                     ,  
                ",,167,.//tei:sourceDoc//tei:surface,115
2128n,Notizbuch A17,1869 1870,"
                     ,  
                ",,270,.//tei:sourceDoc//tei:add,115
2128n,Notizbuch A17,1869 1870,"
                     ,  
                ",,388,.//tei:sourceDoc//tei:zone,115
2128n,Notizbuch A17,1869 1870,"
                     ,  
                ",,1472,.//tei:sourceDoc//tei:line,115
2128n,Notizbuch A17,1869 1870,"
                     ,  
                ",,929,.//tei:sourceDoc//tei:seg,115
2128n,Notizbuch A17,1869 1870,"
                     ,  
                ",,1,.//tei:abstract,18
1zzdp,Notizbuch C5,Während oder kurz nach der Reise nach Thüringen von Anfang Juli bis zum 25. August 1873 entstanden.,1873,,12,.//tei:sourceDoc//tei:note[@type='editorial'],24
1zzdp,Notizbuch C5,Während oder kurz nach der Reise nach Thüringen von Anfang Juli bis zum 25. August 1873 entstanden.,1873,,5,.//tei:sourceDoc//tei:note[@type='authorial'],3
1zzdp,Notizbuch C5,Während oder kurz nach der Reise nach Thüringen von Anfang Juli bis zum 25. August 1873 entstanden.,1873,,140,.//tei:sourceDoc//tei:surface,3
1zzdp,Notizbuch C5,Während oder kurz nach der Reise nach Thüringen von Anfang Juli bis zum 25. August 1873 entstanden.,1873,,84,.//tei:sourceDoc//tei:add,3
1zzdp,Notizbuch C5,Während oder kurz nach der Reise nach Thüringen von Anfang Juli bis zum 25. August 1873 entstanden.,1873,,372,.//tei:sourceDoc//tei:zone,3
1zzdp,Notizbuch C5,Während oder kurz nach der Reise nach Thüringen von Anfang Juli bis zum 25. August 1873 entstanden.,1873,,1607,.//tei:sourceDoc//tei:line,3
1zzdp,Notizbuch C5,Während oder kurz nach der Reise nach Thüringen von Anfang Juli bis zum 25. August 1873 entstanden.,1873,,1566,.//tei:sourceDoc//tei:seg,3
1zzdp,Notizbuch C5,Während oder kurz nach der Reise nach Thüringen von Anfang Juli bis zum 25. August 1873 entstanden.,1873,,1,.//tei:abstract,2
16b9z,Notizbuch C2,1867,1867,,1,.//tei:sourceDoc//tei:note[@type='editorial'],94
16b9z,Notizbuch C2,1867,1867,,0,.//tei:sourceDoc//tei:note[@type='authorial'],0
16b9z,Notizbuch C2,1867,1867,,145,.//tei:sourceDoc//tei:surface,94
16b9z,Notizbuch C2,1867,1867,,38,.//tei:sourceDoc//tei:add,94
16b9z,Notizbuch C2,1867,1867,,280,.//tei:sourceDoc//tei:zone,94
16b9z,Notizbuch C2,1867,1867,,943,.//tei:sourceDoc//tei:line,94
16b9z,Notizbuch C2,1867,1867,,556,.//tei:sourceDoc//tei:seg,94
16b9z,Notizbuch C2,1867,1867,,1,.//tei:abstract,18
22jtg,Notizbuch B14,1880-10-09 1880-10-23 1880-11-18 1880-11-27 1880-12-07 1880-12-11 1880-12-13,,,11,.//tei:sourceDoc//tei:note[@type='editorial'],44
22jtg,Notizbuch B14,1880-10-09 1880-10-23 1880-11-18 1880-11-27 1880-12-07 1880-12-11 1880-12-13,,,8,.//tei:sourceDoc//tei:note[@type='authorial'],2
22jtg,Notizbuch B14,1880-10-09 1880-10-23 1880-11-18 1880-11-27 1880-12-07 1880-12-11 1880-12-13,,,134,.//tei:sourceDoc//tei:surface,6
